Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price
7.009188143,4.09,23086.8005,1059033.558
6.730821019,3.09,40173.07217,1505890.915
8.51272743,5.13,36882.1594,1058987.988
5.586728665,3.26,34310.24283,1260616.807
7.839387785,4.23,26354.10947,630943.4893
6.104512439,4.04,26748.42842,1068138.074
8.147759585,3.41,60828.24909,1502055.817
6.620477995,2.42,36516.35897,1573936.564
6.393120981,2.3,29387.396,798869.5328
8.167688003,6.1,40149.96575,1545154.813
5.0427468,4.1,47224.35984,1707045.722
7.467627404,4.49,34343.99189,663732.3969
7.250029317,3.1,39220.36147,1042814.098
5.993187901,2.27,32326.12314,1291331.518
8.406417715,4.37,35521.29403,1402818.21
8.517512711,4.01,23929.52405,1306674.66
8.219771123,3.12,39717.81358,1556786.6
5.097009554,4.3,24595.9015,528485.2467
7.187773835,5.12,35719.65305,1019425.937
7.091808104,5.49,44922.1067,1030591.429
8.011897853,4.07,47560.77534,2146925.34
6.517175038,2.1,45574.74166,929247.5995
5.478087731,4.31,40358.96011,718887.2315
7.150536572,6.34,28140.96709,743999.8192
7.748681606,4.23,27809.98654,895737.1334
7.312879971,4.33,40694.86951,1453974.506
6.992698757,2.03,38853.91807,1125692.507
6.988753539,4,27784.74228,975429.4928
4.242191302,3.04,33970.16499,1240763.766
8.273697078,4.07,37520.65773,1577017.76
6.686686133,3.24,33754.7378,1246830.188
6.290820167,4.42,39355.62573,1170720.894
8.591923294,5.36,30122.47348,1071279.21
7.333554072,6.29,16810.78331,534305.1323
9.289854372,6,22355.23541,936368.9634
6.593045604,2.07,39395.15118,1199193.831
7.780836693,4.1,27637.65655,1233220.009
6.756453856,3.01,22836.60757,1081150.125
5.426902859,2.39,32947.71196,524712.7661
6.713905445,2.5,47162.18364,302355.836
5.034525352,2.17,39705.46496,1026817.4
7.555660721,6.3,32778.19534,1762214.68
7.60683155,4.43,27161.12861,882057.1706
7.634318731,4.44,43183.92849,1744932.211
7.440505218,6.32,26888.57956,1153871.47
7.204639709,3.18,39741.07751,1499988.88
7.537182365,6.35,35261.12702,1109588.38
5.928223473,3.22,19030.61549,980177.3051
6.919204136,2.13,21725.95429,1323952.027
6.252454805,4.02,43017.44076,1662494.736
7.252665322,6.36,41084.66282,1417819.74
5.831738973,3.32,26881.1306,549976.1456
6.30611635,4.12,35263.65314,1054770.981
6.445456691,3.32,54915.96178,1415647.553
7.31988553,6.41,24377.90905,948788.2757
8.022469239,4.09,27825.57206,1159596.519
7.42559746,3.24,21030.96618,1547133.396
7.18252748,5.08,18267.95471,1186688.506
5.096917456,4.01,32537.81877,772111.9721
5.219754029,3.06,36252.34068,1172730.156
6.91174261,2.28,37098.74217,1111085.017
5.731824125,4.23,33579.63151,1022781.171
7.325973781,4.2,43347.804,1274474.546
4.580839921,4.32,36543.06728,1213530.85
7.007676166,5.43,58600.82715,1411730.477
6.515149877,3.13,37585.27458,858685.5659
6.717844306,3.28,40110.8476,1200961.821
5.919230725,4,49481.56581,1520234.229
7.078583745,6.36,31019.32482,1360908.32
6.261535284,4.12,41640.43566,1360920.53
7.168662411,3.27,43282.183,1146532.455
6.898846569,3.08,37283.35765,1789098.521
6.561520216,3.17,44023.79068,852099.464
7.021252354,3.15,29682.40986,746096.7289
7.327325343,6.25,33197.77774,1534479.907
6.766444664,3.27,40458.73587,1215608.531
6.594592279,3.43,32402.10755,941594.3284
8.290419813,4.38,60286.0431,1204598.037
7.070409541,3.28,34171.36007,1597655.258
8.516160048,6.16,39318.17075,1492011.496
7.276308629,4.28,30865.58695,1421216.504
6.704201604,4.11,48423.32244,1132522.901
5.963031884,4.1,36271.4085,1102821.438
7.100753432,6.24,52947.03636,1856211.35
7.863127437,3.35,47075.21223,1687998.933
6.971331701,4.48,36115.81636,1063423.007
6.937127028,3.2,28366.03543,1177289.886
5.521489299,3.07,42806.14664,1173474.379
4.500165348,3.39,46974.57879,1637259.999
7.658576339,4.04,35517.54187,1238938.291
5.44895603,3.38,32960.75307,201898.0866
8.258634923,6.06,28882.90085,1439506.102
5.809147306,3.3,29268.82674,585608.6326
6.640032004,3.46,35114.40246,1294685.159
6.850361008,3.33,39388.51552,2014851.344
6.578352074,4.33,51815.09642,1840236.006
6.736974131,4.41,49829.9515,1441421.913
7.834099801,4.48,22268.07531,1498640.551
6.31648002,2.38,21867.47694,954746.5764
6.038487979,2.37,32458.9867,1124635.932
7.173425885,3.45,40282.72428,1169944.248
6.001261362,2.02,37127.9255,1114430.953
6.506374302,4.37,46770.66097,1783534.839
7.064811136,3.22,48061.75267,1302933.248
6.734045416,4.41,47039.21532,1241483.612
5.897052836,2.14,9816.300885,954114.544
7.531143012,3.24,43728.80349,1555320.5
4.414380866,2.23,42165.81246,404976.3659
6.159705222,2.44,25909.0792,1073183.76
6.291600796,2.29,41016.64709,1422195.879
5.855972309,3.2,15353.95643,340605.2113
7.754357545,6.32,21762.94969,1170959.526
6.417572622,4.19,30821.41209,942838.1647
7.984335122,4.11,31233.64935,1401613.92
8.776160034,3.41,47089.47508,1175504.486
5.580905937,2.3,35991.72064,608794.2467
7.322709774,5.13,26882.65179,946943.0362
7.135063347,6.04,58745.31203,1819900.637
6.611096005,2.17,28307.31433,1463130.273
7.916386397,5.49,43416.49782,1252391.18
7.760732555,5.28,43310.61243,1714445.175
7.254217433,3.18,49463.37888,1291759.393
7.738295553,6.32,28719.41089,1809154.289
5.164865476,2.3,17117.44367,1200539.361
7.91617166,5.1,29763.92535,1300265.21
6.634954066,4.37,34207.39721,997448.7281
9.468766369,3.46,46477.67868,2152959.409
8.485778263,5.45,35799.63827,1629983.847
4.725325117,3.1,57390.89007,497579.4466
5.894411949,4.36,37441.12054,890112.5493
5.661064127,2.05,39680.60932,1064685.699
7.871352644,6.39,39515.57156,1530124.016
5.650900286,4.36,35598.39044,1246246.828
5.381038359,4.45,35512.25505,1240754.932
6.761631408,4.22,33254.60341,1760734.69
7.210123361,6.44,43537.50295,1393746.76
8.920333221,4.35,29497.97129,1172385.898
6.262825884,4.07,15969.92604,483986.109
7.187432975,3.37,38052.87644,1388530.157
8.425112895,6.2,40653.87007,1721739.384
7.204368895,6.19,30699.33971,1276448.792
6.690894899,2.49,32547.27253,1161742.677
5.305000412,2.04,16741.96499,786407.9451
8.492901229,4.46,37808.99667,1604920.973
7.788267986,5.13,50908.97891,1230149.137
6.675937268,4.32,31379.78297,1051644.554
7.811724471,5.15,43717.91309,1415073.614
5.671136343,3.21,35197.94257,1043483.915
8.320351986,6.45,44426.21365,1544379.748
6.91419577,3.22,48726.9513,1352135.967
8.097044285,3.44,29293.07405,1505727.431
8.076943604,4.2,31755.72136,1416965.979
6.774986419,4.33,31946.30387,1046721.976
6.818670754,2.18,32745.36812,939040.0036
7.481321112,3.26,17568.73376,1383031.332
6.669888411,3.49,29636.50711,1072503.238
7.3313301,6.26,24997.10871,1134397.758
5.385339778,4.14,39129.2967,734827.508
6.952026674,4.27,33393.9166,991892.3175
7.418750603,5.04,34467.7587,1057252.583
7.173698882,4.06,41828.57962,1237224.859
8.199615241,4.41,43230.35216,1442632.541
7.748248953,4.46,43947.68026,1877402.32
7.311912321,6.4,35090.50081,1394518.415
5.240300887,3.25,38061.9983,953939.3299
7.088992691,5.33,21651.69941,1219778.034
8.877240042,3,32468.03115,1287325.382
5.935909326,2.47,38677.81515,1739893.555
6.69735801,3.07,31843.87634,1213382.223
4.652717554,3.31,35122.38947,1007478.748
7.610720856,3.22,39737.12261,1528756.126
6.703917223,2.05,29356.22337,1182459.772
7.777279444,3.14,35799.96255,1474546.762
7.04524851,4.18,47457.66221,1078016.94
5.475252653,3.14,48226.71893,1453381.624
6.476007341,4.41,39527.04856,1495012.965
6.668979774,4.04,45084.03666,714148.4148
5.57471435,3.18,44162.27921,894292.0474
5.681833507,3.2,31357.38821,1159841.831
7.213659075,5.07,36033.42685,1195986.299
9.180401429,6.11,27307.94803,1381430.63
6.733084867,2,55799.49748,1534889.853
6.147907596,3.17,38649.85239,1494125.33
8.517401059,5.3,39731.15056,1356146.261
5.767366136,4.26,38820.48194,1454943.074
5.636779395,2.31,43091.84514,774118.1878
4.788380207,3.48,41003.88008,889113.2389
